"What is this Table?
This table lists the Housing Preservation Departments (HPD) unique Complaint types, complaint details and the location types present in the 311 Data on the Open Data Portal.
This HPD table is separated from other agency complaint details because HPD complaints correlate to feild that indicates which Buidling Management Program (BMP) the complaint type is associated with.

How you can use this table
• You can use this table to help you identify new types of complaints that are captured by 311.
• Use this table to get a sense of what services a Agency is responsible for.

Notes:
• ""BMP"" - Building Management Program.
•  ""DPM"", ""DAMP"" - Building Types managed by HPD under BMP programs. This information is used by 311 to determine the types of complaints applicable to a particular address.
• ""Sec8"" - Section 8 housing, managed by HPD under BMP program.
• ""PVT"" - Privately-Owned buildings; complaints are accepted even though they are not managed by HPD.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Agency,Complaint Type,Descriptor,BMP,Public View,Additional_Details,Location_Type,Location_Details
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Cracked or Broken,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Cracked or Broken,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Cracked or Broken,Public Area,Hallway
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Cracked or Broken,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Cracked or Broken,Public Area,Laundry Room
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Cracked or Broken,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Laundry Room
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Hallway
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Compactor Closet
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Boiler Room
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,Sec 8,Yes,Leaking,Public Area,Meter Room
Department of Housing Preservation and Development,Plumbing,Toilet,Sec 8,Yes,Bowl Cracked or Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,Sec 8,Yes,Bowl Loose or Wobbly,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,Sec 8,Yes,Bowl Removed or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,Sec 8,Yes,Bowl Stopped Up,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,Sec 8,Yes,Continuously Runs,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,Sec 8,Yes,Disconnected,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,Sec 8,Yes,Flush Handle Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,Sec 8,Yes,No Water,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Toilet,Sec 8,Yes,Tank Cracked or Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Water Supply,Sec 8,Yes,Low Water Pressure,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Water Supply,Sec 8,Yes,Low Water Pressure,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Water Supply,Sec 8,Yes,No Cold Water,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Water Supply,Sec 8,Yes,No Cold Water,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Water Supply,Sec 8,Yes,No Hot Water,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Water Supply,Sec 8,Yes,No Hot Water,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Water Supply,Sec 8,Yes,No Water,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Water Supply,Sec 8,Yes,No Water,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Water Supply,Sec 8,Yes,Scalding Hot Water,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Water Supply,Sec 8,Yes,Scalding Hot Water,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Broken/Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Broken/Leaking,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Chipped or Rusted,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Chipped or Rusted,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Chipped or Rusted,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Basin Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Drain Pipe Blocked or Broken,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Drain Pipe Blocked or Broken,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Drain Pipe Blocked or Broken,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Faucet Broken/Missing/Leaking,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Faucet Broken/Missing/Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Faucet Broken/Missing/Leaking,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,No Water,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,No Water,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,No Water,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Pipe Leaking,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Pipe Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Pipe Leaking,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Sink Detached from Wall,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Sink Detached from Wall,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Basin/Sink,PVT,Yes,Sink Detached from Wall,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Broken or Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Chipped or Rusted,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Faucet Broken/Missing/Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Faucet Broken/Missing/Leaking,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Leaking into Other Apartment,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,Leaking into Other Apartment,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,No Water,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Bathtub/Shower,PVT,Yes,No Water,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Boiler,PVT,Yes,Broken,Public Area,Boiler Room
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Public Area,Hallway
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Air Valve Broken or Missing,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Public Area,Hallway
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Broken or Missing,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Public Area,Hallway
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Cracked or Leaking,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Public Area,Hallway
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Loose or Disconnected,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Public Area,Bathroom
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Public Area,Kitchen
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Public Area,Laundry Room
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Public Area,Hallway
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Radiator,PVT,Yes,Shut Off Valve Broken,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Drain,Public Area,Laundry Room
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Pipe,Public Area,Laundry Room
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Pipe,Public Area,Lobby
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Pipe,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Pipe,Public Area,Basement
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Pipe,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Pipe,Public Area,Courtyard
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Pipe,Public Area,Boiler Room
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Pipe,Public Area,Building Entrance
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Pipe,Public Area,Yard
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Pipe,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Pipe,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Sewer,PVT,Yes,Broken or Blocked Pipe,Public Area,Meter Room
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Cracked or Broken,Public Area,Other Room/Area
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Cracked or Broken,Public Area,Stairs
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Cracked or Broken,Public Area,Storage Room
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Cracked or Broken,Public Area,Cellar
Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,PVT,Yes,Cracked or Broken,Public Area,Basement
